@RELATION RUN_EVALUATIONS

@ATTRIBUTE openml_data_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE predictive_accuracy NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
22,1,6404_weka.FilteredClassifier_MultiSearch_SMO_RBFKernel,0.8385,ok
22,1,6405_weka.FilteredClassifier_MultiSearch_J48,0.7155,ok
22,1,6408_weka.FilteredClassifier_MultiSearch_IBk,0.8115,ok
22,1,6409_weka.FilteredClassifier_NaiveBayes,0.734,ok
22,1,6410_weka.FilteredClassifier_MultiSearch_Logistic,0.8245,ok
22,1,6411_weka.FilteredClassifier_MultiSearch_RandomForest,0.7785,ok
22,1,6412_weka.FilteredClassifier_MultiSearch_LogitBoost_REPTree,0.782,ok
23,1,6404_weka.FilteredClassifier_MultiSearch_SMO_RBFKernel,0.494908,ok
23,1,6405_weka.FilteredClassifier_MultiSearch_J48,0.543109,ok
23,1,6408_weka.FilteredClassifier_MultiSearch_IBk,0.486083,ok
23,1,6409_weka.FilteredClassifier_NaiveBayes,0.505771,ok
23,1,6410_weka.FilteredClassifier_MultiSearch_Logistic,0.512559,ok
23,1,6411_weka.FilteredClassifier_MultiSearch_RandomForest,0.515275,ok
23,1,6412_weka.FilteredClassifier_MultiSearch_LogitBoost_REPTree,0,other
24,1,6404_weka.FilteredClassifier_MultiSearch_SMO_RBFKernel,1.0,ok
24,1,6405_weka.FilteredClassifier_MultiSearch_J48,1.0,ok
24,1,6408_weka.FilteredClassifier_MultiSearch_IBk,1.0,ok
24,1,6409_weka.FilteredClassifier_NaiveBayes,0.954456,ok
24,1,6410_weka.FilteredClassifier_MultiSearch_Logistic,0.996923,ok
24,1,6411_weka.FilteredClassifier_MultiSearch_RandomForest,1.0,ok
24,1,6412_weka.FilteredClassifier_MultiSearch_LogitBoost_REPTree,1.0,ok
2074,1,6404_weka.FilteredClassifier_MultiSearch_SMO_RBFKernel,0.922862,ok
2074,1,6405_weka.FilteredClassifier_MultiSearch_J48,0.867496,ok
2074,1,6408_weka.FilteredClassifier_MultiSearch_IBk,0.909331,ok
2074,1,6409_weka.FilteredClassifier_NaiveBayes,0.794712,ok
2074,1,6410_weka.FilteredClassifier_MultiSearch_Logistic,0.857854,ok
2074,1,6411_weka.FilteredClassifier_MultiSearch_RandomForest,0.918663,ok
2074,1,6412_weka.FilteredClassifier_MultiSearch_LogitBoost_REPTree,0.89549,ok
2075,1,6404_weka.FilteredClassifier_MultiSearch_SMO_RBFKernel,0.265502,ok
2075,1,6405_weka.FilteredClassifier_MultiSearch_J48,0.265023,ok
2075,1,6408_weka.FilteredClassifier_MultiSearch_IBk,0.264305,ok
2075,1,6409_weka.FilteredClassifier_NaiveBayes,0.235576,ok
2075,1,6410_weka.FilteredClassifier_MultiSearch_Logistic,0.27005,ok
2075,1,6411_weka.FilteredClassifier_MultiSearch_RandomForest,0.2418,ok
2075,1,6412_weka.FilteredClassifier_MultiSearch_LogitBoost_REPTree,0,other
28,1,6404_weka.FilteredClassifier_MultiSearch_SMO_RBFKernel,0.993416,ok
28,1,6405_weka.FilteredClassifier_MultiSearch_J48,0.905338,ok
28,1,6408_weka.FilteredClassifier_MultiSearch_IBk,0.987011,ok
28,1,6409_weka.FilteredClassifier_NaiveBayes,0.914057,ok
28,1,6410_weka.FilteredClassifier_MultiSearch_Logistic,0.969929,ok
28,1,6411_weka.FilteredClassifier_MultiSearch_RandomForest,0.983808,ok
28,1,6412_weka.FilteredClassifier_MultiSearch_LogitBoost_REPTree,0.970463,ok
29,1,6404_weka.FilteredClassifier_MultiSearch_SMO_RBFKernel,0.852174,ok
29,1,6405_weka.FilteredClassifier_MultiSearch_J48,0.855072,ok
29,1,6408_weka.FilteredClassifier_MultiSearch_IBk,0.862319,ok
29,1,6409_weka.FilteredClassifier_NaiveBayes,0.775362,ok
29,1,6410_weka.FilteredClassifier_MultiSearch_Logistic,0.856522,ok
29,1,6411_weka.FilteredClassifier_MultiSearch_RandomForest,0.872464,ok
29,1,6412_weka.FilteredClassifier_MultiSearch_LogitBoost_REPTree,0.856522,ok
