@RELATION RUN_EVALUATIONS

@ATTRIBUTE openml_data_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE predictive_accuracy NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
1,1,2048_weka.MultiBoostAB_DecisionStump,0.836303,ok
1,1,2049_weka.MultiBoostAB_DecisionStump,0.836303,ok
1,1,2050_weka.MultiBoostAB_DecisionStump,0.836303,ok
1,1,2051_weka.RacedIncrementalLogitBoost_DecisionStump,0.761693,ok
1,1,2052_weka.RandomSubSpace_REPTree,0.989978,ok
1,1,2053_weka.RandomSubSpace_REPTree,0.986637,ok
1,1,2054_weka.RandomSubSpace_REPTree,0.989978,ok
1,1,2055_weka.RandomSubSpace_REPTree,0.992205,ok
1,1,2056_weka.RandomSubSpace_REPTree,0.992205,ok
1,1,2057_weka.RealAdaBoost_DecisionStump,0,other
1,1,2058_weka.RealAdaBoost_DecisionStump,0,other
1,1,2059_weka.RealAdaBoost_DecisionStump,0,other
1,1,2060_weka.RealAdaBoost_DecisionStump,0,other
1,1,2061_weka.RealAdaBoost_DecisionStump,0,other
1,1,2062_weka.RotationForest_PrincipalComponents_J48,0.986637,ok
1,1,2063_weka.RotationForest_PrincipalComponents_J48,0.989978,ok
1,1,2064_weka.RotationForest_PrincipalComponents_J48,0.991091,ok
1,1,2065_weka.RotationForest_PrincipalComponents_J48,0.989978,ok
1,1,2066_weka.RotationForest_PrincipalComponents_J48,0.988864,ok
1,1,2067_weka.FURIA,0.986637,ok
1,1,2069_weka.ADTree,0,other
1,1,2070_weka.LADTree,0.982183,ok
1,1,2166_weka.FilteredClassifier_Discretize_J48,0.986637,ok
1,1,1838_weka.J48,0.985523,ok
1,1,1839_weka.ZeroR,0.761693,ok
1,1,1840_weka.Ridor,0.98441,ok
1,1,1841_weka.OneR,0.836303,ok
1,1,1842_weka.Prism,0,other
1,1,1843_weka.PART,0.982183,ok
1,1,1844_weka.OLM,0.845212,ok
1,1,1845_weka.NNge,0.989978,ok
1,1,1846_weka.SimpleCart,0.982183,ok
1,1,1847_weka.REPTree,0.982183,ok
1,1,1848_weka.RandomTree,0.982183,ok
1,1,1849_weka.RandomForest,0.994432,ok
1,1,1850_weka.NBTree,0.98441,ok
1,1,1852_weka.LMT,0.993318,ok
1,1,1854_weka.J48graft,0.986637,ok
1,1,1856_weka.Id3,0,other
1,1,1857_weka.HoeffdingTree,0.761693,ok
1,1,1858_weka.FT,0.991091,ok
1,1,1859_weka.ExtraTree,0,other
1,1,1860_weka.DecisionStump,0.771715,ok
1,1,1861_weka.BFTree,0.98441,ok
1,1,1864_weka.JRip,0.98441,ok
1,1,1866_weka.DecisionTable_BestFirst,0.953229,ok
1,1,1867_weka.ConjunctiveRule,0.841871,ok
1,1,1868_weka.CHIRP,0.987751,ok
1,1,1869_weka.HyperPipes,0.977728,ok
